"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"WARS2-AS1",1.38829727572394e-07,-7.89806242955844,0,0.012,0.00680029654567855,"down"
"KHDC4",1.38829727572394e-07,-7.9749709362489,0,0.012,0.00680029654567855,"down"
"LINC02060",1.38829727572394e-07,-8.01820524706657,0,0.012,0.00680029654567855,"down"
"AC068587.4",1.38829727572394e-07,-7.96434872473633,0,0.012,0.00680029654567855,"down"
"SMARCC2",1.38829727572394e-07,-7.88059279861406,0,0.012,0.00680029654567855,"down"
"AL357153.2",1.38829727572394e-07,-8.02311021241981,0,0.012,0.00680029654567855,"down"
"RETREG3",1.38829727572394e-07,-7.99093236673942,0,0.012,0.00680029654567855,"down"
"EGLN2",1.38829727572394e-07,-7.97163586556248,0,0.012,0.00680029654567855,"down"
"CDKL1",1.41661136660017e-07,0.526724135126799,0.104,0.065,0.00693898745701761,"ns"
"RP11-142A5.1",1.45348233752337e-07,0.364996499459642,0.167,0.118,0.00711959253389072,"ns"
"FAM189A2",1.48456704146952e-07,-0.847306239199594,0.314,0.354,0.00727185473923015,"ns"
"RPS15AP38",1.48841782604043e-07,1.07053630250521,0.053,0.027,0.00729071703729386,"up"
"RNF150",1.51190785752194e-07,0.451045853075058,0.145,0.1,0.0074057782584997,"ns"
"CRADD",1.53218872839633e-07,0.278851618809656,0.33,0.267,0.00750512004830376,"ns"
"TTC3",1.53285688363602e-07,0.130500389459902,0.394,0.315,0.00750839287311432,"ns"
"IRF1",1.56496236208571e-07,-1.70854188678764,0.013,0.036,0.00766565513820443,"down"
"APBA1",1.63185881411179e-07,0.327062865241317,0.217,0.16,0.00799333402916379,"ns"
"BCAR3",1.63372745041758e-07,0.291684699351077,0.214,0.158,0.00800248717038045,"ns"
"C12orf60",1.66400699236736e-07,0.916469548848138,0.056,0.029,0.00815080545071306,"ns"
"GMDS-AS1",1.67134905468799e-07,0.292247735454039,0.364,0.298,0.00818676907457816,"ns"
"COLEC12",1.67686425537281e-07,-0.81651171094484,0.12,0.167,0.00821378418209263,"ns"
"RP11-731J8.2",1.70887645747455e-07,0.460484101049149,0.153,0.107,0.0083705895516476,"ns"
"PHLPP1",1.71954424825792e-07,0.128576986632849,0.659,0.567,0.00842284359124178,"ns"
"PPM1L",1.7221523317699e-07,0.24587133806813,0.306,0.24,0.00843561876670851,"ns"
"RPL8",1.7692062508076e-07,-0.730529441381453,0.077,0.119,0.00866610297833086,"ns"
"ELP4",1.78411328938359e-07,0.294977488305177,0.378,0.311,0.00873912212538764,"ns"
"LINC00174",1.86161955624169e-07,-0.817500036586171,0.062,0.102,0.00911877107233867,"ns"
"RP11-153F1.1",1.90837374528354e-07,1.38057236061335,0.027,0.01,0.00934778711652234,"up"
"GPC5-AS2",1.91402295316772e-07,-7.80398468343513,0,0.012,0.00937545863150145,"down"
"MFSD14A",1.9140229882268e-07,-7.92375987203847,0,0.012,0.00937545880323135,"down"
"AL591686.2",1.9140229882268e-07,-7.8401121129812,0,0.012,0.00937545880323135,"down"
"CSKMT",1.9140229882268e-07,-8.05295021979379,0,0.012,0.00937545880323135,"down"
"AC012405.1",1.9140229882268e-07,-8.65482273294559,0,0.012,0.00937545880323135,"down"
"TVP23C",1.91402302328587e-07,-7.8678105226247,0,0.012,0.0093754589749612,"down"
"TENT4A",1.91402302328587e-07,-7.70620062035048,0,0.012,0.0093754589749612,"down"
"RP11-418J17.1",1.92156880008062e-07,0.430126196610697,0.129,0.086,0.00941242045343491,"ns"
"METTL2B",1.93462518569189e-07,-1.75096961959446,0.027,0.056,0.0094763745470746,"down"
"ACACB",1.97863263109728e-07,0.162418541997353,0.37,0.296,0.0096919362169038,"ns"
"USMG5",2.05058137152776e-07,0.478154964254065,0.143,0.099,0.0100443627321544,"ns"
"ARHGAP5",2.05483577909947e-07,0.153768974257827,0.583,0.492,0.0100652020967629,"ns"
"ING3",2.10396709314718e-07,0.502272811431644,0.1,0.063,0.0103058620123628,"ns"
"ENO2",2.10718754180028e-07,-0.679277508084514,0.14,0.189,0.0103216367360003,"ns"
"BAALC-AS1",2.1112837945731e-07,-0.888023961162002,0.109,0.155,0.0103417014109574,"ns"
"LINC00824",2.22238241209291e-07,0.547809339648705,0.148,0.104,0.0108858957691547,"ns"
"RAD51B",2.2321941913013e-07,0.205078968946079,0.347,0.279,0.0109339568072511,"ns"
"ARHGAP42",2.25118116384975e-07,0.305726225195933,0.229,0.172,0.0110269606948852,"ns"
"HSPE1-MOB4",2.33160646507853e-07,1.04156447620085,0.021,0.006,0.0114209079478942,"up"
"RHOQ",2.34143495216665e-07,0.504823271340578,0.161,0.115,0.0114690508261979,"ns"
"EXOC4",2.42116939901214e-07,0.192536532971803,0.467,0.393,0.0118596140671812,"ns"
"MPPED2",2.42535089415817e-07,0.213090384091319,0.302,0.237,0.0118800962848549,"ns"
"ABCD2",2.44500017593419e-07,0.341177202108298,0.241,0.184,0.0119763443617784,"ns"
"ACAD11",2.52549514828726e-07,-5.4549588445775,0.001,0.014,0.0123706328848555,"down"
"ZNRD1-AS1",2.58526521354934e-07,0.801538823612926,0.064,0.035,0.0126634045955287,"ns"
"CNTNAP2",2.60635370846546e-07,0.200254330354253,0.456,0.385,0.0127667023701764,"ns"
"AL590617.2",2.63915712309628e-07,-7.83021879700144,0,0.012,0.0129273833360625,"down"
